Survived,Pclass,Cat_family,encoded_sex,encoded_embarked,scaled_age
0,3,1,1,2,-0.5657364610748746
1,1,1,0,0,0.6638610320657843
1,3,1,0,2,-0.2583370877897099
1,1,1,0,2,0.4333115021019107
0,3,1,1,2,0.4333115021019107
0,3,1,1,1,-0.10463740114712752
0,1,1,1,2,1.893458525206443
0,3,0,1,2,-2.1027333275006983
1,3,1,0,2,-0.1814872444684187
1,2,1,0,0,-1.180535207645204
1,3,1,0,2,-1.949033640858116
1,1,1,0,2,2.200857898491608
0,3,1,1,2,-0.719436147717457
0,3,0,1,2,0.7407108753870755
0,3,1,0,2,-1.180535207645204
1,2,1,0,2,1.9703083685277343
0,3,0,1,1,-2.1027333275006983
1,2,1,1,2,-0.10463740114712752
0,3,1,0,2,0.12591212881674602
1,3,1,0,0,-0.10463740114712752
0,2,1,1,2,0.4333115021019107
1,2,1,1,2,0.35646165878061953
1,3,1,0,1,-1.1036853643239128
1,1,1,1,2,-0.10463740114712752
0,3,0,0,2,-1.6416342675729512
1,3,0,0,2,0.6638610320657843
0,3,1,1,0,-0.10463740114712752
0,1,0,1,2,-0.7962859910387481
1,3,1,0,1,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
0,1,1,1,0,0.8175607187083667
1,1,1,0,0,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
0,2,1,1,2,2.8156566450619374
0,1,1,1,0,-0.10463740114712752
0,1,1,1,2,0.9712604053509489
1,3,1,1,0,-0.10463740114712752
0,3,1,1,2,-0.6425863043961658
0,3,1,0,2,-0.8731358343600393
1,3,1,0,0,-1.180535207645204
0,3,1,0,2,0.8175607187083667
0,2,1,0,2,-0.1814872444684187
0,3,1,1,0,-0.10463740114712752
1,2,1,0,0,-2.025883484179407
1,3,1,0,1,-0.7962859910387481
0,3,1,1,2,-0.10463740114712752
0,3,1,1,1,-0.10463740114712752
1,3,1,0,1,-0.10463740114712752
0,3,1,1,0,-0.10463740114712752
0,3,1,0,2,-0.8731358343600393
0,3,0,1,2,-1.7184841108942424
0,3,1,1,2,-0.6425863043961658
1,1,1,0,0,1.5092093085999871
1,2,1,0,2,-0.027787557825836348
0,1,1,1,0,2.738806801740646
1,1,1,1,2,-0.10463740114712752
1,2,1,0,2,-0.6425863043961658
0,3,1,1,0,-0.06621247948648194
1,2,1,0,2,-1.8721837975368247
0,3,0,1,2,-1.4110847376090776
0,3,1,1,0,-0.5657364610748746
1,1,1,0,2,0.6638610320657843
0,1,1,1,2,1.2018099353148226
0,3,0,1,2,-1.949033640858116
0,1,1,1,0,-0.10463740114712752
1,3,1,1,0,-0.10463740114712752
1,2,1,0,2,-0.027787557825836348
0,3,1,1,2,-0.7962859910387481
1,3,0,0,2,-0.9499856776813305
0,3,1,1,2,-0.2583370877897099
0,2,1,1,2,0.20276197213803718
0,3,0,0,2,-1.0268355210026217
0,2,1,1,2,-0.6425863043961658
0,3,1,1,0,-0.2583370877897099
1,3,1,1,2,0.20276197213803718
0,3,1,1,2,-0.33518693111100106
0,3,1,1,2,-0.10463740114712752
0,3,1,1,2,-0.10463740114712752
1,2,1,1,2,-2.192647644186609
1,3,1,0,2,0.04906228549545483
0,3,1,1,2,-0.5657364610748746
1,3,1,1,2,-0.027787557825836348
1,3,1,0,1,-0.10463740114712752
